URI|PROPERTY|ENGLISH
http://snomed.info/id/216344008|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, factory premises
http://snomed.info/id/216345009|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, garage, place of work
http://snomed.info/id/216346005|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, industrial yard
http://snomed.info/id/216347001|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, factory loading platform
http://snomed.info/id/216348006|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, store loading platform
http://snomed.info/id/216349003|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, industrial plant
http://snomed.info/id/216350003|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, railway yard
http://snomed.info/id/216351004|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, shop, place of work
http://snomed.info/id/216352006|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, warehouse
http://snomed.info/id/216353001|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, workhouse
http://snomed.info/id/216355008|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, place for recreation and sport
http://snomed.info/id/216356009|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, amusement park
http://snomed.info/id/216357000|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, baseball field
http://snomed.info/id/216358005|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, basketball court
http://snomed.info/id/216359002|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, beach resort
http://snomed.info/id/216360007|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, cricket ground
http://snomed.info/id/216362004|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, football field
http://snomed.info/id/216363009|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, golf course
http://snomed.info/id/216364003|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, gymnasium
http://snomed.info/id/216365002|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, hockey field
http://snomed.info/id/216366001|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, holiday camp
http://snomed.info/id/216367005|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, ice palace
http://snomed.info/id/216368000|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, lake resort
http://snomed.info/id/216369008|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, mountain resort
http://snomed.info/id/216370009|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, school playground
http://snomed.info/id/216372001|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, public park
http://snomed.info/id/216373006|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, racecourse
http://snomed.info/id/216375004|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, riding school
http://snomed.info/id/216376003|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, rifle range
http://snomed.info/id/216377007|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, seashore resort
http://snomed.info/id/216378002|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, skating rink
http://snomed.info/id/216379005|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, sports ground
http://snomed.info/id/216380008|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, sports centre
